username,tweetcreatedts,text
EmiryLaura,2023-02-12 05:02:00+00:00,TUNTUTAN KEPALA DESA UNTUK MENAMBAH MASA JABATAN DARI SEBELUMNYA 6 TAHUN MENJADI 9 TAHUN MERUPAKAN HAL YANG WAJAR https://t.co/SK8NdUtHRp
SeliWardana,2023-02-12 05:01:58+00:00,TUNTUTAN KEPALA DESA UNTUK MENAMBAH MASA JABATAN DARI SEBELUMNYA 6 TAHUN MENJADI 9 TAHUN MERUPAKAN HAL YANG WAJAR https://t.co/eeYvZh5R5j
PutunMy,2023-02-12 02:00:44+00:00,"Jalan Mulus Perpanjangan Masa Jabatan Presiden Akan Terbuka Lebar???
Kalàu Itu Terjadi Maka Presiden Turun Wibawanya, Kelasnya Sama dgn Kepala Desa karna Gunakan Tuntutan Kades Menjadi Referensi demi Kekuasaan dan ini Sangat Mempermalukan Konstitusi NKRI.
https://t.co/q41mPxKZzE"
nyamiasih,2023-02-12 00:21:22+00:00,Yuk talk show Dua sisi kebijakan masa jabatan kepala desa 9 tahun https://t.co/1OcHNo1Gmz
desamembangun,2023-02-11 07:14:43+00:00,Isu tarik ulur kewenangan desa terkubur oleh isu perpanjangan masa jabatan kepala desa. Ini menunjukkan sisi tata kuasa mssyarakat desa yang lemah atau hasrat berkuasa segelintir orang yg menamai dirinya kades yang terlalu kuat? #9thUUDesa
twit_Purwokerto,2023-02-11 04:46:32+00:00,"Dalam pemilihan kepala desa aja calonnya ada yg ngeluarin sampai lebih dari 1 M dan itu juga dapat dari hutang sana sini, jadi wajar mereka sampai ngotot buat masa jabatan 9 tahun buat bisa balikin modal ( hutang dan lain"" ). Apalagi untuk sekelas Pilgub, jadi ga usah pada ribut"
RepelitaO,2023-02-10 09:40:43+00:00,Riset Big Data: Mayoritas Netizen Tolak Perpanjangan Masa Jabatan Kepala Desa Jadi 9 Tahun https://t.co/ZHYG9fq5GA
RepelitaO,2023-02-10 09:37:38+00:00,Riset Big Data: Mayoritas Netizen Tolak Perpanjangan Masa Jabatan Kepala Desa Jadi 9 Tahun https://t.co/mRUyIO5SPq lewat @Repelita Online
RepelitaO,2023-02-10 09:34:58+00:00,Riset Big Data: Mayoritas Netizen Tolak Perpanjangan Masa Jabatan Kepala Desa Jadi 9 Tahun https://t.co/r0zmuvXKT7
alyacayyah,2023-02-10 07:59:15+00:00,"Saya pastikan dia koar-koar demo perpanjangan masa jabatan kepala desa.

Tikus istana dan tikus desa sama-sama biadab. https://t.co/2AMEaW2efQ"
korantempo,2023-02-10 05:02:40+00:00,"Perpanjangan masa jabatan kepala desa justru akan menimbulkan persoalan baru. 

Padahal masih banyak masalah penyelenggaraan pemerintahan di desa. 

#KoranTempo https://t.co/KhL47lGrWe"
HeriantoWbW,2023-02-10 04:38:58+00:00,"Kalau udah ada datanya, terus lanjutannya gimana?
Nambah masa jabatan kepala desa atau nambah dana desa?"
nepriadi74,2023-02-10 01:52:13+00:00,"@alisyarief Rakyat itu pingin nya kemajuan desa, kemakmuran masyarakat di desa bukan memajukan jumlah masa jabatan kepala desa.... rakyat malah pingin masa jabatan kepala desa cukup 4 tahun saja...."
Iqbaalkhatami,2023-02-09 13:56:42+00:00,"Heran memang, wacana ini masih bergulir sampai sekarang, seperti dirawat.

Sedikit ulasan saya di @detikcom tentang Wacana perpanjangan masa jabatan kepala desa 👇
https://t.co/AUlNRVcGQM"
beritasulselcom,2023-02-09 08:31:31+00:00,"54 Kepala Desa Berakhir Masa Jabatan, Adnan Tunjuk Camat dan Sekcam Jadi PlT - https://t.co/ozxUssurPn https://t.co/GtqvIlXqLZ"
TirtoID,2023-02-09 03:30:00+00:00,"Wakil Ketua Umum Partai Golkar mencurigai kemunculan isu perpanjangan masa jabatan kepala desa hingga penghapusan jabatan gubernur belakangan ini. 

Menurutnya kedua isu itu muncul secara mendadak dan serentak di waktu yang berdekatan.

https://t.co/sYr5YpHzib"
utamanewscom,2023-02-08 15:21:30+00:00,"Ketua MD KAHMI Binjai Cium Aroma Tak Sedap di Isu Perpanjangan Jabatan Kepala Desa. ""Perpanjangan masa jabatan bukanlah solusi yang terbaik. Sebab alasan pembangunan Desa terbengkalai akibat konflik saat Pilkades terkesan terlalu didramatisir""
 https://t.co/4ghkYZz6g0"
redaksikarawan1,2023-02-08 15:00:36+00:00,"Wacana perpanjangan masa jabatan kepala desa (kades) dari 6 tahun menjadi 9 tahun menjadi sorotan masyarakat. Sampai sekarang, wacana ini menimbulkan pro kontra dari berbagai pihak.

https://t.co/0bnPEcypmi"
suaradotcom,2023-02-08 12:29:18+00:00,"Wamendes PDTT Budi Arie membantah wacana perpanjangan masa jabatan kepala desa akan menguntungkan partai politik.

https://t.co/lxaHtHge37"
RidwanDmr,2023-02-08 10:34:43+00:00,"Polemik perpanjangan masa jabatan kepala desa mengguncang kompleks parlemen beberapa waktu lalu, dikarenakan sebagian kades menggelar aksi demo agar merevisi  UU No 6 Tahun 2014 Tentang Desa terkhusus pasal 39. Sekilas pendapat saya mengenai hal itu, https://t.co/6ksVaHh7pV"
cak_agastya,2023-02-08 06:57:59+00:00,"kepala desa jam segini kemana ya, ada yang tau gak ?? mau minta ttd udh gaada di tempat. apakah masih nuntut masa jabatan 9 tahun di Jakarta ??"
DraiugantShierz,2023-02-08 05:43:40+00:00,@narerurashii_ @collegemenfess masa jabatan kepala desa
hipnotisku,2023-02-08 04:32:27+00:00,"Saya bagian yang menolak perpanjangan masa jabatan Kepala desa, udah cukuplah 6 tahun saja, kan bisa tiga kali nyalon juga, kalau tiga kali berturut turut kepilih juga jatuhnya 18 tahun mimpin desa, ampe punya cucu 4 tuh. #TolakPerpanjanganKepalaDesa"
Zabidinir,2023-02-08 02:56:17+00:00,@OposisiCerdas Jangan lengah juga PDIP sedang menggarap para kepala desa dan perangkatnya dgn iming-iming masa jabatan menjadi 9th DPR dan presiden setuju. Kades dan perangkat merupakan ujung tombak esensial mendulang suara melalui cara legal maupun ilegal.
i_publicist,2023-02-08 02:17:36+00:00,Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/YhwqTGut0k via @ChangeOrg_ID
VIVAcoid,2023-02-07 14:00:43+00:00,"Wacana perpanjangan masa jabatan kepala desa atau kades dinilai sebagai bentuk kolusi politisi. Wacana itu diduga didorong partai politik untuk menjarah suara melalui kades.

Demikian disampaikan Rektor Universitas Paramadina Didik J Rachbini.

https://t.co/5O1AtgWlwk https://t.co/E8cV7PisEC"
wahdani003,2023-02-07 13:03:08+00:00,@Gerindra Tolak perpanjangan masa jabatan kepala desa!
liputan6dotcom,2023-02-07 12:36:58+00:00,"Kritik Masa Jabatan Kades 9 Tahun, Apip Berdamai dengan Oknum Kepala Desa. https://t.co/ZTvsR0mXGf"
liputan6dotcom,2023-02-07 08:40:34+00:00,"VIDEO: Kritik Masa Jabatan Kades 9 Tahun, Apip Berdamai dengan Oknum Kepala Desa https://t.co/Lrox9mH439"
liputan6dotcom,2023-02-07 08:37:06+00:00,"VIDEO: Kritik Masa Jabatan Kades 9 Tahun, Apip Berdamai dengan Oknum Kepala Desa https://t.co/QyPmAgHKSl"
obedbanget,2023-02-06 14:30:49+00:00,TOLAK PERPANJANGAN MASA JABATAN KEPALA DESA - Tandatangani Petisi! https://t.co/f5SUZUFqsZ via @ChangeOrg_ID
PeloporMedia,2023-02-06 14:24:06+00:00,Akademisi dan SEKBER Rapat Audensi 51 Terkait Berakhirnya Masa Jabatan Kepala Desa Di Banyuwangi https://t.co/CYpDfzkzH2
tribunmedan,2023-02-06 11:03:34+00:00,"Ketua Asosiasi Pangulu Simalungun Tolak Perpanjangan Masa Jabatan Kepala Desa Jadi 9 Tahun
 
https://t.co/yN5XL38Isj via @tribunmedan"
hulkolorijo,2023-02-06 06:28:43+00:00,"@Stevaniehuangg Wamendes merangkap relawan jokowi, pantesan kepala desa pada nuntut 9 tahun masa bakti, transaksi untuk tunda pemilu dan perpanjangan jabatan jokowi ya ?"
MeneqS,2023-02-06 05:02:41+00:00,"@CyberHansip86 Bagus jika masa jabatan kepala desa panjang .

🙏"
Bambang77197468,2023-02-06 04:26:32+00:00,"@bwinarso99 ➡️
Nun Kepala Desa pun ikut2an bersuka cita masa jabatan jadi 9 thn.
Dua pentolan itu ujung tombak Pemb.  Nasional dan Pemb. Masy. Desa.
□ Kalau track recordnya bagus| baik| benar. Jika tidak bagus, korup dll mumet selawasnya sepjg ms jabatan.."
HSR_OFFICIAL_,2023-02-06 02:16:11+00:00,"Isu Perpanjangan Masa Jabatan Kepala Desa Dapat Sentimen Sangat Buruk dari Publik, Duo PKB Disorot
https://t.co/TN7VP32xxl"
FulanMcBastard,2023-02-06 00:54:59+00:00,pantes kepala desa ingin perpanjang masa jabatan. kayaknya bentar lagi minta jabatan seumur hidup neh.
hulkolorijo,2023-02-05 16:26:04+00:00,"@detikcom Enggak ada desa miskin, yg ada dana desa diembat, kepala desa minta 9 tahun masa kerjanya dan bisa dipilih lagi serta aparat desa semuanya ASN. 

Barter dgn tunda pemilu dan perpanjangan jabatan jokowi. 

Hebat apa licik tuh ⁉️"
inilahdotcom,2023-02-05 15:12:05+00:00,Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar (Cak Imin) menjadi tokoh yang disorot dalam wacana perpanjangan masa jabatan kepala desa (kades) yang memantik kontroversi. Hal itu disampaikan Direktur Pusat Studi Media dan Demokrasi Lembaga… https://t.co/CsK4QTrUa9
